LongDiscipline,Discipline,SubDiscipline,Title,r-e,CourseDescription,Credits,Trimester,Term,Grade Level,Prerequisites,Modality
English,1,,Introduction to Literary Thinking ,R,"This course focuses on the four principle skill areas of reading, writing, group discussion and oral presentation. Students explore what it means to be literary thinkers in connection to their big question, Who Am I? Students have the opportunity to read, discuss, and analyze young adult fiction as they deepen their understanding of the interplay between the basic elements of fiction: character, plot, setting and themes. Through literature and writing students explore what makes a good story and practice telling their own stories, focusing first on the personal, and then expanding into fiction. Through experiencing the writing process, including generating ideas, developing drafts, revising for tone, word choice, and detail, and editing for grammar and other written conventions, students continually build their writers? toolbox. Regular work on vocabulary and grammar skills is incorporated throughout the year. Group discussion and oral presentation skills ? including how to effectively express ideas, listen to others, and respond and build on ideas presented ? are emphasized.",3,3,Y,5,,
English,1,,Literary Thinking 1,R,"Students examine what it means to be a literary thinker in this genre-study course as they are introduced to a diverse selection of literature and oral traditions (including poems, folktales and myths, contemporary fiction and mystery, and classics such as Tom Sawyer). Students explore their big question, What Is The World Made Of?, by examining the way texts have shaped the world while practicing reading skills such as making predictions and drawing comparisons and inferences. The course focuses on understanding story structure through reading and writing stories and the practice of story-telling techniques. Giving presentations and participating in class discussions are also an important part of the class. Students work regularly to build their vocabulary and hone their grammatical skills.",3,3,Y,6,Integrated with Historical Thinking 1,
English,1,,Literary Thinking 2,R,"Students build upon their knowledge of what it means to be a literary thinker as they compare readings to personal experience and understand readings in historical context. They have the opportunity to engage with texts from a wide range of genres and to participate in literary discussions with their peers. Texts include Of Mice and Men, Macbeth, Out of the Dust, and Brave New World as well as contemporary young adult fiction. Students expand their vocabulary and sharpen their grammatical skills while concentrating on writing and presenting effectively for different audiences and purposes. As they explore the big question How Did We Get Here?, they focus extensively on writing as an ongoing process.",3,3,Y,7,Integrated with Historical Thinking 2 & Information Literacy 2,
English,1,,Literary Thinking 3,R,"Building upon the eighth grade question, What Does It Mean To Be Human?, this course challenges students to consider the diversity of the world around them while striving to define their place in it both as individuals and as thoughtful global citizens. The year is divided into three sections, ?Cultures of the World,? ?Cultures in Conflict,? and ?From Conflict to Consensus.? Working from texts such as Martel?s Life of Pi, Achebe?s Things Fall Apart, Weisel?s Night, Shakespeare?s Romeo and Juliet, Orwell?s 1984, and Anaya?s Bless Me, Ultima, students work to become more critical readers, deliberate and powerful writers, and considerate contributors to class and to the larger global community. In the course, students work with grammatical concepts and vocabulary acquisition weekly, and they hone writing skills through creative pieces, journals, personal narratives, and textual analyses. In addition, sustainability issues weave throughout the year; common themes in this arena are examined across curricula in Literary, Historical, and Scientific Thinking, as well as in the 8th grade course, Environmental Practices.",3,3,Y,8,Integrated with Historical Thinking 3 & Environmental Practices ,
Fine and Performing Arts- Theatre,6,Theatre,Intro to Theatre,E,"The course lays a foundation of concepts and skills central to an understanding and appreciation of theatre. Students learn about basic script analysis, the fundamentals of how directors stage plays, how technical theatre supports the director?s vision and how actors work as an ensemble. When schedules allow, students attend live theatre performances and see a variety of playhouses.",1,1,T,5-6,,
Fine and Performing Arts- Theatre,6,Theatre,Intro to Improv,E,"Through games, exercises, and ?showings,? students learn what tools they have as actors and how they can sharpen and wield these skills on stage. ÿStudents develop confidence, vocal presence, physical dexterity, and imagination while making discoveries on stage and having fun. As a class, students begin to work as a team and explore the wonders of saying ?Yes!? to anything that comes their way.",1,1,T,5-6,,
Fine and Performing Arts- Theatre,6,Theatre,Playing Shakespeare,E,"?All the world?s a stage, and all the men and women merely players.? Shakespeare?s plays were meant to be performed! This course explores how an actor would approach Shakespeare?s characters and text. Why do Shakespeare?s characters speak the way they do? What does one need to know to play a Queen or a King? Through exercises, games, activities, rehearsal and performance students explore how to bring Shakespeare to life.",1,1,T,5-6,,
Fine and Performing Arts- Theatre,6,Theatre,Acting: Character,E,"Building on the experiences and skills in improvisation, students begin to explore physical storytelling and characterization. Using viewpoints, movement, and physical ensemble exercises, students develop a sense of spatial narrative and aesthetic as a class. Students invent characters and learn how to bring them to life with gesture, playwriting, and improvisation.",1,1,T,7-8,,
Fine and Performing Arts- Theatre,6,Theatre,Acting: Scene,E,"In this course, students integrate performance skills with text. They study and practice vocabulary derived from Stanislavsky?s System, and apply knowledge, personal experience, and imagination to a variety of scenes and dialogues. Students practice character development, textual analysis, and rehearsal methods. By the end of this class, students have a vocabulary and process to approach and develop any play or character for an incredible performance.",1,1,T,7-8,,
Fine and Performing Arts- Theatre,6,Theatre,Stagecraft (MS),E,"There are many things that happen behind the scenes to bring a play to life. Production designers, carpenters, technicians, and artisans spend many hours designing, building, and creating all aspects of what is seen and heard in any given production. This course introduces the basic concepts and skills needed to build for the stage. Students learn simple construction and design techniques, as well as how to identify the technical needs of a production. Since the best theater making is always collaborative in nature, students work together in ?Production Teams? to create and design work. When possible, this course supports and builds for EPS Theatre Productions.",1,1,T,5-8,,
